# ------------------------------------------------------------------------------
#     name   network            latitude           longitude  useless      depth
# ------------------------------------------------------------------------------
      0        A            0.0         0.        0.        0.
      -10        A           -10.0         0.        0.        0.
      -20        A           -20.0         0.        0.        0.
      -30        A           -30.0         0.        0.        0.
      -40        A           -40.0         0.        0.        0.
      -50        A           -50.0         0.        0.        0.
      -60        A           -60.0         0.        0.        0.
      -70        A           -70.0         0.        0.        0.
      -80        A           -80.0         0.        0.        0.
      10        A           10.0         0.        0.        0.
      20        A           20.0         0.        0.        0.
      30        A           30.0         0.        0.        0.
      40        A           40.0         0.        0.        0.
      50        A           50.0         0.        0.        0.
      60        A           60.0         0.        0.        0.
      70        A           70.0         0.        0.        0.
      80        A           80.0         0.        0.        0.
     -10        B           -10.0         180.        0.        0.
      -20        B           -20.0         180.        0.        0.
      -30        B           -30.0         180.        0.        0.
      -40        B           -40.0         180.        0.        0.
      -50        B           -50.0         180.        0.        0.
      -60        B           -60.0         180.        0.        0.
      -70        B           -70.0         180.        0.        0.
      -80        B           -80.0         180.        0.        0.
      10        B           10.0         180.        0.        0.
      20        B           20.0         180.        0.        0.
      30        B           30.0         180.        0.        0.
      40        B           40.0         180.        0.        0.
      50        B           50.0         180.        0.        0.
      60        B           60.0         180.        0.        0.
      70        B           70.0         180.        0.        0.
      80        B           80.0         180.        0.        0.
     -10        C           -10.0         90.        0.        0.
      -20        C           -20.0         90.        0.        0.
      -30        C           -30.0         90.        0.        0.
      -40        C           -40.0         90.        0.        0.
      -50        C           -50.0         90.        0.        0.
      -60        C           -60.0         90.        0.        0.
      -70        C           -70.0         90.        0.        0.
      -80        C           -80.0         90.        0.        0.
      10        C           10.0         90.        0.        0.
      20        C           20.0         90.        0.        0.
      30        C           30.0         90.        0.        0.
      40        C           40.0         90.        0.        0.
      50        C           50.0         90.        0.        0.
      60        C           60.0         90.        0.        0.
      70        C           70.0         90.        0.        0.
      80        C           80.0         90.        0.        0.
